Page,Title
1,ჯიბის კაცუნა და მწვანე კუნძული
1,იგავ-არაკები
1,მე ვარ ლენი ბრაუნი
1,მხიარული მატარებელი და სხვა ამბები
1,7 მე მიყვარს კითხვა - ქარიფანტია დღიური
1,სალამურას თავგადასავალი
1,7 მე მიყვარს კითხვა - ბატი და ბუტი
1,8 მე მიყვარს კითხვა -სოფის ფათერაკები
1,პლანეტა დედამიწა
1,თეთრი დათვი და მურა დათვი
1,7 მე მიყვარს კითხვა - ზღაპრად ქცეული ამბები
1,ქვა ბესიკ ხარანაული უმცროსი
1,DOROHEDORO VOL. 06
1,DOG MAN: UNLEASHED
1,Diary of a Wimpy Kid - a novel in cartoon
1,The Marvel Age of Comics 1961–1978 -
1,მოგზაური თაგუნია
1,3 კაპიტანი ტრიკოტვინიკოსა ზომბების შეტევა
1,უფლისწული და მათხოვარი
1,ქარი ტირიფებში
1,1 კაპიტანი ტრიკო
1,განძის კუნძული
1,პატარა პრინცესა
1,4 კაპიტანი ტრიკო და პროფესორი ტრაწაკუას სახიფათო გეგმა
2,მაწანწალა რასმუსი
2,ქარი ტირიფებში
2,ვაჟა ფშაველა პოემები
2,1 კაპიტანი ტრიკო
2,საიდუმლო ბაღი
2,მფარველი ანგელოზი
2,500 კითხვა და პასუხი - დინოზავრები
2,6000 საოცარი ფაქტი
2,ბანდიტი ბებია ბრუნდება
2,ზღაპრების კოლექცია - მოანა
2,დისნეი ანიმაციური კოლექცია - ადამიანი ობობა
2,პატარა ქალთევზა
2,მანქანები
2,ზღაპრების კოლექცია - პატარა ქალთევზა
2,ნემოს ძიებაში
2,სამი გოჭი - ხმოვანი წიგნი
2,იაკობ გოგებაშვილი მოთხრობები
2,გრაფიკული კონტრაპუნქტი ზურაბ ნიჟარაძე
2,უცნაური კითხვები და პასუხები ცხოველებზე
2,თოვლიანი დღის სიტყვების წიგნი
2,ღმერთების დაბადება და სხვა ბერძნული მითები
2,ჰილდა და უჩინმაჩინები
2,კუდაბზიკეთი და სხვა მოთხრობები
2,პიტერ პენი
3,უცნაური კითხვები და პასუხები ცხოველებზე
3,პიტერ პენი
3,ღმერთების დაბადება და სხვა ბერძნული მითები
3,მაქსისტორიები
3,მთები - მოძრავი ნახატებით
3,მოთხრობები - ეგნატე ნინოშვილი
3,ჯაყოს ხიზნები
3,ზღაპრები -ძმები გრიმები
3,თავგადასავალი საჰაერო ოკეანეში
3,თხუთმეტი წლის კაპიტანი
3,უცნაური კითხვები და პასუხები ჩვენს ოკეანეებზე
3,უცნაური კითხვები და პასუხები გარემოს დაცვაზე
3,შერლოკი ლუპენი და მე დაკარგული პიკის ქალი
3,უფლისწული და მათხოვარი
3,ელისი საოცრებათა ქვეყანაში
3,უცნაური კითხვები და პასუხები ჩვენს პლანეტაზე
3,ფაზლებიანი მსოფლიოს ახალი საოცრებები
3,მბ 9-11 ჩვენც სალტკროკელები ვართ
3,მბ 7-9 მოკლე კატოს თავგადასავალი
3,POKEMON ADV B & W 01
3,პატარა ძილგუდა მალე უკეთ იქნები 1 წლიდან
3,"ხმოვანი წიგნი, ჟოზეს უყვარს სპორტი"
3,პატარა ძილგუდა შენი ძილის დროა 1 წლიდან
3,პატარა ძილგუდა მე შენ მიყვარხარ
4,პატარა ძილგუდა შენი ძილის დროა 1 წლიდან
4,"ხმოვანი წიგნი, ჟოზეს უყვარს სპორტი"
4,ჯადოსნური საშობაო დაპირება-ჩვენთვის მოყოლილი ამბები
4,პატარა ძილგუდა მე შენ მიყვარხარ
4,მსოფლიოს ბუნების ძეგლები აღმოაჩინე და შეისწავლე
4,ტომ სოიერი დეტექტივი
4,"ძია ბენოს ,კატა  ფეფესა და ძაღლ კრიმანჭულას თავგადასავალი თოვლიან ტყეში"
4,ღამის სიტყვების წიგნი
4,პატარა ძილგუდა მალე უკეთ იქნები 1 წლიდან
4,მზიანი დღის სიტყვების წიგნი
4,პი და პო სიტყვების დიდი წიგნი
4,ALICE IN BORDERLAND VOL. 2
4,კლასგარეშე საკითხავი-პარადიის არდადეგები
4,კლასგარეშე საკითხავი-გასაღვიძებელი ზღაპრები
4,BAKUMAN 06
4,კლასგარეშე საკითხავი-პალომა _ უცნაური მეფის ასული
4,ზღაპრები -ძმები გრიმები II-III კლასიდან
4,როგორ მუშაობს ყველაფერი
4,მსოფლიოს საოცრებები
4,ლოტო - მსოფლიოს დროშები 1
4,ჩემი თავგადასავლების დიდი წიგნი
4,მოკლე კატოს თავგადასავალი - ზაირა არსენიშვილი
4,ოკეანე - მოძრავი ნახატებით
4,გაიცანი დიდი ადამიანები 2ტ
5,როგორ მუშაობს ყველაფერი
5,ჩემი თავგადასავლების დიდი წიგნი
5,500 კითხვა და პასუხი - დედამიწა
5,ხმოვანი წიგნი - ოკეანეში
5,მსოფლიოს საოცრებები
5,ლოტო - მსოფლიოს დროშები 1
5,მთელი ჩემი რისხვა
5,უკეთესი დღე
5,მბ 7-9 დიდედას სახელობის გზა
5,ინგლისურის დამხმარე სახელმძღვანელო (ქართულ-ინგლისური)
5,კნუტი სახელად კნაჭა
5,"მბ.11-13ბიჭი, რომელიც ვარსკვლავებთან ცხოვრობდა"
5,მბ.7-9 ანტონის პატარა საჩუქარი
5,"ძაღლი, სახელად კექსი"
5,მბ.7-9 მეკობრეთა სკოლა
5,მბ.6-7 შეუდარებელი ბატონი მელია
5,"გოჭი, სახელად ბატიბუტი"
5,პადინგტონი საზღვარგარეთ
5,მბ.6-7 მილი მოლი მენდი
5,მბ 11-13 შერლოკ ჰოლმსის თავგადასავალი
5,"დათვი, სახელად პადინგტონი"
5,პადინგტონი გვეხმარება
5,ცნობილი ხუთეული  ხუთეული საიდუმლო ბილიკზე(15)
5,მბ 7-9 დიდედა და რვა ბავშვი ტყეში
